DocID,Name,Email,Clinic,AppNum,RoomNumber
1,Dr. Abdullah Alrashed,AbdullahAlrashed@gmail.com,Internal Medicine Clinic - عيادة الباطنية,4,101
2,Dr. Damodar Tolani,DamodarTolani@gmail.com,Internal Medicine Clinic - عيادة الباطنية,2,102
3,Dr. Mohammed Alrain,MohammedAlrain@gmail.com,HPV vaccine - تطعيم فيروس الورم الحليمي البشري,2,112
4,Dr. Ali Dawood,AliDawood@gmail.com,HPV vaccine - تطعيم فيروس الورم الحليمي البشري,1,113
5,Dr. Salman Abu Mazyad,SalmanAbuMazyad@gmail.com,Ophthalmology Clinic - عيادة العيون,1,126
6,Dr. Abdulaziz Alghamdi,AbdulazizAlghamdi@gmail.com,Ophthalmology Clinic - عيادة العيون,1,127
7,Dr. Eman Al-Saif,EmanAl-Saif@gmail.com,Teeth Cleaning and polishing - تنظيف الأسنان,0,204
8,Dr. Fares Al-Harbi,FaresAl-Harbi@gmail.com,Teeth Cleaning and polishing - تنظيف الأسنان,0,206
9,Dr. Samar Azher yousuf,SamarAzheryousuf2@gmail.com,Teeth Cleaning and polishing - تنظيف الأسنان,1,208
10,Dr. Hassan Ramda,HassanRamda@gmail.com,Recombinant Zoster Vaccine - لقاح الحزام الناري,1,217
11,Dr. Walter White,WalterWhite@gmail.com,Recombinant Zoster Vaccine - لقاح الحزام الناري,3,219
12,Dr. Hanan Al Shaikh,HananAlShaikh@gmail.com,Obstetrics & Gynecology - النساء والولادة,3,225
13,Dr. Mohammed Jaafar,MohammedJaafar@gmail.com,Dermatology Clinic - عيادة الجلدية,0,227
14,Dr. Samar Azher yousuf,SamarAzheryousuf@gmail.com,Root canal treatment- علاج عصب الاسنان,2,230
15,Dr. Eman Mahdi Al-Saif,EmanMahdi Al-Saif@gmail.com,Dental clinic - عيادة الاسنان,1,234
16,Dr. Fares Nawaf Al-Harbi,FaresNawafAl-Harbi@gmail.com,Dental clinic - عيادة الاسنان,1,235
17,Dr. Imtiaz Ahmad,ImtiazAhmad@gmail.com,ENT Clinic - عيادة الأنف والأذن والحنجرة,1,238
18,Dr. Sarah Humlood,SarahHumlood@gmail.com,Children vaccination - تطعيم الاطفال,1,200
19,Dr. Sean John Combs,Dr.SeanJohnCombs@gmail.com,Children vaccination - تطعيم الاطفال,1,132
