patientID,name,email,ContactNumber
1,ALI CHAN,Aliemail@gmail.com,0561231234
2,MOHAMMED KHAN,Mohammedkhan@gmail.com,0541234321
3,ABDULLAH AULA,aula@gmail.com,0541234567
6,ABDULLAH CHAN,chan@gmail.com,0512345678
7,ABDULLAH DAWOOD,dawood@gmail.com,0547657890
8,SEAN COMBS,babyoil@gmail.com,0524205555
9,JOHN CENET,cen@gmail.com,0538880000
10,CRHIS TYSON,gho@gmail.com,0546667777
11,MOHAMMAD SAUD,somthing@gmail.com,0510008888
12,ALI,afew@gmail.com,05376347
13,SSA,aasda,asas
14,RASHED,rashed@gmail.com,05555555555
15,JIJIJ,adasda,911
17,YZEED,t@gmail.com,999
18,AHMED KHALED,ahmedkhaled@gmail.com,0512343311
19,YAZEED,y@gmail.com,966539188862
20,KHALED,khaled22@gmail.com,0512345678
